vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,MacroIndustryData,中国对美国进出口总额2020年至2026年月度,1,EDB取数,,,"| 指标代码 | 指标名称 | 频率 | 单位 | 值 | 日期 | 数据来源 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 137060356.262 | 2020-04-30 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 95730013 | 2020-03-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 60570594.046 | 2020-02-29 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 41488630.555 | 2020-01-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 58066296.567 | 2026-06-30 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 52034141.788 | 2026-05-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 50454759.483 | 2026-04-30 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 42058851.123 | 2026-03-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 40038785.836 | 2026-02-28 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 46604855.477 | 2026-01-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 45104141.831 | 2025-12-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 43842425.777 | 2025-11-30 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 45075960.87 | 2025-10-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 45792337.507 | 2025-09-30 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 42889007.753 | 2025-08-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 47916931.193 | 2025-07-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 49772584.321 | 2025-06-30 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 39627046.922 | 2025-05-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 45590341.268 | 2025-04-30 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 52541843.205 | 2025-03-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 40779660.513 | 2025-02-28 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 61290037.307 | 2025-01-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 64155553.27 | 2024-12-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 59733615.253 | 2024-11-30 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 59824669.519 | 2024-10-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 60705071.363 | 2024-09-30 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 60695609.464 | 2024-08-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 60640696.814 | 2024-07-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 59247509.409 | 2024-06-30 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 57216465.489 | 2024-05-31 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 56403314.695 | 2024-04-30 | 海关总署 |
| 210007178 | 中国:进出口总额:按来源地分:以美元计:美国:当期值:月 | 月 | 美元 | 50507454.46 | 2024-03-31 | 海关总署 |
