date,realtime_end,realtime_start,value
2008-01-01,2026-08-01,2026-08-01,4.2947
2008-02-01,2026-08-01,2026-08-01,4.14296
2008-03-01,2026-08-01,2026-08-01,3.9749
2008-04-01,2026-08-01,2026-08-01,3.90376
2008-05-01,2026-08-01,2026-08-01,4.08841
2008-06-01,2026-08-01,2026-08-01,4.93597
2008-07-01,2026-08-01,2026-08-01,5.49751
2008-08-01,2026-08-01,2026-08-01,5.30802
2008-09-01,2026-08-01,2026-08-01,4.95332
2008-10-01,2026-08-01,2026-08-01,3.73106
2008-11-01,2026-08-01,2026-08-01,1.09992
2008-12-01,2026-08-01,2026-08-01,-0.02223
2009-01-01,2026-08-01,2026-08-01,-0.11359
2009-02-01,2026-08-01,2026-08-01,0.00846
2009-03-01,2026-08-01,2026-08-01,-0.44648
2009-04-01,2026-08-01,2026-08-01,-0.57632
2009-05-01,2026-08-01,2026-08-01,-1.01576
2009-06-01,2026-08-01,2026-08-01,-1.22917
2009-07-01,2026-08-01,2026-08-01,-1.95876
2009-08-01,2026-08-01,2026-08-01,-1.48384
2009-09-01,2026-08-01,2026-08-01,-1.37794
2009-10-01,2026-08-01,2026-08-01,-0.22397
2009-11-01,2026-08-01,2026-08-01,1.91459
2009-12-01,2026-08-01,2026-08-01,2.81412
2010-01-01,2026-08-01,2026-08-01,2.62111
2010-02-01,2026-08-01,2026-08-01,2.15134
2010-03-01,2026-08-01,2026-08-01,2.28617
2010-04-01,2026-08-01,2026-08-01,2.20677
2010-05-01,2026-08-01,2026-08-01,2.00355
2010-06-01,2026-08-01,2026-08-01,1.12156
2010-07-01,2026-08-01,2026-08-01,1.34078
2010-08-01,2026-08-01,2026-08-01,1.15018
2010-09-01,2026-08-01,2026-08-01,1.11831
2010-10-01,2026-08-01,2026-08-01,1.1667
2010-11-01,2026-08-01,2026-08-01,1.08454
2010-12-01,2026-08-01,2026-08-01,1.43779
2011-01-01,2026-08-01,2026-08-01,1.70078
2011-02-01,2026-08-01,2026-08-01,2.1249
2011-03-01,2026-08-01,2026-08-01,2.61924
2011-04-01,2026-08-01,2026-08-01,3.07723
2011-05-01,2026-08-01,2026-08-01,3.45897
2011-06-01,2026-08-01,2026-08-01,3.50232
2011-07-01,2026-08-01,2026-08-01,3.57988
2011-08-01,2026-08-01,2026-08-01,3.755
2011-09-01,2026-08-01,2026-08-01,3.81262
2011-10-01,2026-08-01,2026-08-01,3.52227
2011-11-01,2026-08-01,2026-08-01,3.45143
2011-12-01,2026-08-01,2026-08-01,3.06207
2012-01-01,2026-08-01,2026-08-01,3.00877
2012-02-01,2026-08-01,2026-08-01,2.89818
2012-03-01,2026-08-01,2026-08-01,2.58288
2012-04-01,2026-08-01,2026-08-01,2.27316
2012-05-01,2026-08-01,2026-08-01,1.73794
2012-06-01,2026-08-01,2026-08-01,1.65387
2012-07-01,2026-08-01,2026-08-01,1.41751
2012-08-01,2026-08-01,2026-08-01,1.68593
2012-09-01,2026-08-01,2026-08-01,1.94972
2012-10-01,2026-08-01,2026-08-01,2.15568
2012-11-01,2026-08-01,2026-08-01,1.79602
2012-12-01,2026-08-01,2026-08-01,1.7595
2013-01-01,2026-08-01,2026-08-01,1.68406
2013-02-01,2026-08-01,2026-08-01,2.01814
2013-03-01,2026-08-01,2026-08-01,1.51875
2013-04-01,2026-08-01,2026-08-01,1.13881
2013-05-01,2026-08-01,2026-08-01,1.39039
2013-06-01,2026-08-01,2026-08-01,1.71579
2013-07-01,2026-08-01,2026-08-01,1.88547
2013-08-01,2026-08-01,2026-08-01,1.53881
2013-09-01,2026-08-01,2026-08-01,1.09473
2013-10-01,2026-08-01,2026-08-01,0.8768
2013-11-01,2026-08-01,2026-08-01,1.23287
2013-12-01,2026-08-01,2026-08-01,1.51284
2014-01-01,2026-08-01,2026-08-01,1.55776
2014-02-01,2026-08-01,2026-08-01,1.12047
2014-03-01,2026-08-01,2026-08-01,1.61269
2014-04-01,2026-08-01,2026-08-01,2.01513
2014-05-01,2026-08-01,2026-08-01,2.16695
2014-06-01,2026-08-01,2026-08-01,2.05898
2014-07-01,2026-08-01,2026-08-01,1.97424
2014-08-01,2026-08-01,2026-08-01,1.7151
2014-09-01,2026-08-01,2026-08-01,1.68405
2014-10-01,2026-08-01,2026-08-01,1.60954
2014-11-01,2026-08-01,2026-08-01,1.23152
2014-12-01,2026-08-01,2026-08-01,0.65312
2015-01-01,2026-08-01,2026-08-01,-0.22993
2015-02-01,2026-08-01,2026-08-01,-0.08703
2015-03-01,2026-08-01,2026-08-01,-0.02203
2015-04-01,2026-08-01,2026-08-01,-0.10403
2015-05-01,2026-08-01,2026-08-01,0.03503
2015-06-01,2026-08-01,2026-08-01,0.17957
2015-07-01,2026-08-01,2026-08-01,0.22569
2015-08-01,2026-08-01,2026-08-01,0.2413
2015-09-01,2026-08-01,2026-08-01,0.00884
2015-10-01,2026-08-01,2026-08-01,0.12762
2015-11-01,2026-08-01,2026-08-01,0.43632
2015-12-01,2026-08-01,2026-08-01,0.63872
2016-01-01,2026-08-01,2026-08-01,1.2375
2016-02-01,2026-08-01,2026-08-01,0.84728
2016-03-01,2026-08-01,2026-08-01,0.89162
2016-04-01,2026-08-01,2026-08-01,1.17263
2016-05-01,2026-08-01,2026-08-01,1.07848
2016-06-01,2026-08-01,2026-08-01,1.07929
2016-07-01,2026-08-01,2026-08-01,0.86836
2016-08-01,2026-08-01,2026-08-01,1.05532
2016-09-01,2026-08-01,2026-08-01,1.54864
2016-10-01,2026-08-01,2026-08-01,1.68592
2016-11-01,2026-08-01,2026-08-01,1.68433
2016-12-01,2026-08-01,2026-08-01,2.0508
2017-01-01,2026-08-01,2026-08-01,2.51039
2017-02-01,2026-08-01,2026-08-01,2.81036
2017-03-01,2026-08-01,2026-08-01,2.4412
2017-04-01,2026-08-01,2026-08-01,2.17622
2017-05-01,2026-08-01,2026-08-01,1.85634
2017-06-01,2026-08-01,2026-08-01,1.64057
2017-07-01,2026-08-01,2026-08-01,1.72511
2017-08-01,2026-08-01,2026-08-01,1.92812
2017-09-01,2026-08-01,2026-08-01,2.18057
2017-10-01,2026-08-01,2026-08-01,2.02076
2017-11-01,2026-08-01,2026-08-01,2.17249
2017-12-01,2026-08-01,2026-08-01,2.12993
2018-01-01,2026-08-01,2026-08-01,2.15132
2018-02-01,2026-08-01,2026-08-01,2.26347
2018-03-01,2026-08-01,2026-08-01,2.33095
2018-04-01,2026-08-01,2026-08-01,2.471
2018-05-01,2026-08-01,2026-08-01,2.78192
2018-06-01,2026-08-01,2026-08-01,2.80755
2018-07-01,2026-08-01,2026-08-01,2.85412
2018-08-01,2026-08-01,2026-08-01,2.64292
2018-09-01,2026-08-01,2026-08-01,2.33206
2018-10-01,2026-08-01,2026-08-01,2.49203
2018-11-01,2026-08-01,2026-08-01,2.14733
2018-12-01,2026-08-01,2026-08-01,2.00238
2019-01-01,2026-08-01,2026-08-01,1.48759
2019-02-01,2026-08-01,2026-08-01,1.51886
2019-03-01,2026-08-01,2026-08-01,1.88319
2019-04-01,2026-08-01,2026-08-01,2.00058
2019-05-01,2026-08-01,2026-08-01,1.79591
2019-06-01,2026-08-01,2026-08-01,1.67119
2019-07-01,2026-08-01,2026-08-01,1.82633
2019-08-01,2026-08-01,2026-08-01,1.73764
2019-09-01,2026-08-01,2026-08-01,1.6845
2019-10-01,2026-08-01,2026-08-01,1.73397
2019-11-01,2026-08-01,2026-08-01,2.09229
2019-12-01,2026-08-01,2026-08-01,2.31953
2020-01-01,2026-08-01,2026-08-01,2.59977
2020-02-01,2026-08-01,2026-08-01,2.34132
2020-03-01,2026-08-01,2026-08-01,1.49404
2020-04-01,2026-08-01,2026-08-01,0.31305
2020-05-01,2026-08-01,2026-08-01,0.1982
2020-06-01,2026-08-01,2026-08-01,0.71666
2020-07-01,2026-08-01,2026-08-01,0.99686
2020-08-01,2026-08-01,2026-08-01,1.28107
2020-09-01,2026-08-01,2026-08-01,1.39102
2020-10-01,2026-08-01,2026-08-01,1.23039
2020-11-01,2026-08-01,2026-08-01,1.17575
2020-12-01,2026-08-01,2026-08-01,1.32042
2021-01-01,2026-08-01,2026-08-01,1.37384
2021-02-01,2026-08-01,2026-08-01,1.66982
2021-03-01,2026-08-01,2026-08-01,2.66782
2021-04-01,2026-08-01,2026-08-01,4.13308
2021-05-01,2026-08-01,2026-08-01,4.91826
2021-06-01,2026-08-01,2026-08-01,5.29563
2021-07-01,2026-08-01,2026-08-01,5.24517
2021-08-01,2026-08-01,2026-08-01,5.15202
2021-09-01,2026-08-01,2026-08-01,5.35122
2021-10-01,2026-08-01,2026-08-01,6.23504
2021-11-01,2026-08-01,2026-08-01,6.90197
2021-12-01,2026-08-01,2026-08-01,7.17434
2022-01-01,2026-08-01,2026-08-01,7.55881
2022-02-01,2026-08-01,2026-08-01,7.93728
2022-03-01,2026-08-01,2026-08-01,8.5722
2022-04-01,2026-08-01,2026-08-01,8.23175
2022-05-01,2026-08-01,2026-08-01,8.53817
2022-06-01,2026-08-01,2026-08-01,8.97936
2022-07-01,2026-08-01,2026-08-01,8.46258
2022-08-01,2026-08-01,2026-08-01,8.22258
2022-09-01,2026-08-01,2026-08-01,8.19211
2022-10-01,2026-08-01,2026-08-01,7.75881
2022-11-01,2026-08-01,2026-08-01,7.12286
2022-12-01,2026-08-01,2026-08-01,6.4046
2023-01-01,2026-08-01,2026-08-01,6.32718
2023-02-01,2026-08-01,2026-08-01,5.95782
2023-03-01,2026-08-01,2026-08-01,4.91772
2023-04-01,2026-08-01,2026-08-01,4.95008
2023-05-01,2026-08-01,2026-08-01,4.13185
2023-06-01,2026-08-01,2026-08-01,3.07062
2023-07-01,2026-08-01,2026-08-01,3.28775
2023-08-01,2026-08-01,2026-08-01,3.7225
2023-09-01,2026-08-01,2026-08-01,3.68721
2023-10-01,2026-08-01,2026-08-01,3.25127
2023-11-01,2026-08-01,2026-08-01,3.13335
2023-12-01,2026-08-01,2026-08-01,3.31591
