date,realtime_end,realtime_start,value
2014-06-01,2026-08-03,2026-08-03,138849.0
2014-07-01,2026-08-03,2026-08-03,139072.0
2014-08-01,2026-08-03,2026-08-03,139269.0
2014-09-01,2026-08-03,2026-08-03,139563.0
2014-10-01,2026-08-03,2026-08-03,139798.0
2014-11-01,2026-08-03,2026-08-03,140089.0
2014-12-01,2026-08-03,2026-08-03,140364.0
2015-01-01,2026-08-03,2026-08-03,140568.0
2015-02-01,2026-08-03,2026-08-03,140827.0
2015-03-01,2026-08-03,2026-08-03,140923.0
2015-04-01,2026-08-03,2026-08-03,141196.0
2015-05-01,2026-08-03,2026-08-03,141538.0
2015-06-01,2026-08-03,2026-08-03,141709.0
2015-07-01,2026-08-03,2026-08-03,141991.0
2015-08-01,2026-08-03,2026-08-03,142125.0
2015-09-01,2026-08-03,2026-08-03,142275.0
2015-10-01,2026-08-03,2026-08-03,142579.0
2015-11-01,2026-08-03,2026-08-03,142808.0
2015-12-01,2026-08-03,2026-08-03,143077.0
2016-01-01,2026-08-03,2026-08-03,143210.0
2016-02-01,2026-08-03,2026-08-03,143406.0
2016-03-01,2026-08-03,2026-08-03,143662.0
2016-04-01,2026-08-03,2026-08-03,143854.0
2016-05-01,2026-08-03,2026-08-03,143900.0
2016-06-01,2026-08-03,2026-08-03,144147.0
2016-07-01,2026-08-03,2026-08-03,144520.0
2016-08-01,2026-08-03,2026-08-03,144661.0
2016-09-01,2026-08-03,2026-08-03,144967.0
2016-10-01,2026-08-03,2026-08-03,145065.0
2016-11-01,2026-08-03,2026-08-03,145183.0
2016-12-01,2026-08-03,2026-08-03,145408.0
2017-01-01,2026-08-03,2026-08-03,145628.0
2017-02-01,2026-08-03,2026-08-03,145846.0
2017-03-01,2026-08-03,2026-08-03,145970.0
2017-04-01,2026-08-03,2026-08-03,146175.0
2017-05-01,2026-08-03,2026-08-03,146380.0
2017-06-01,2026-08-03,2026-08-03,146583.0
2017-07-01,2026-08-03,2026-08-03,146772.0
2017-08-01,2026-08-03,2026-08-03,146919.0
2017-09-01,2026-08-03,2026-08-03,147008.0
2017-10-01,2026-08-03,2026-08-03,147149.0
2017-11-01,2026-08-03,2026-08-03,147372.0
2017-12-01,2026-08-03,2026-08-03,147523.0
2018-01-01,2026-08-03,2026-08-03,147660.0
2018-02-01,2026-08-03,2026-08-03,148054.0
2018-03-01,2026-08-03,2026-08-03,148280.0
2018-04-01,2026-08-03,2026-08-03,148420.0
2018-05-01,2026-08-03,2026-08-03,148742.0
2018-06-01,2026-08-03,2026-08-03,148960.0
2018-07-01,2026-08-03,2026-08-03,149020.0
2018-08-01,2026-08-03,2026-08-03,149277.0
2018-09-01,2026-08-03,2026-08-03,149358.0
2018-10-01,2026-08-03,2026-08-03,149527.0
2018-11-01,2026-08-03,2026-08-03,149617.0
2018-12-01,2026-08-03,2026-08-03,149809.0
2019-01-01,2026-08-03,2026-08-03,150060.0
2019-02-01,2026-08-03,2026-08-03,150067.0
2019-03-01,2026-08-03,2026-08-03,150295.0
2019-04-01,2026-08-03,2026-08-03,150591.0
2019-05-01,2026-08-03,2026-08-03,150618.0
2019-06-01,2026-08-03,2026-08-03,150838.0
2019-07-01,2026-08-03,2026-08-03,150937.0
2019-08-01,2026-08-03,2026-08-03,151169.0
2019-09-01,2026-08-03,2026-08-03,151365.0
2019-10-01,2026-08-03,2026-08-03,151460.0
2019-11-01,2026-08-03,2026-08-03,151667.0
2019-12-01,2026-08-03,2026-08-03,151794.0
2020-01-01,2026-08-03,2026-08-03,152031.0
2020-02-01,2026-08-03,2026-08-03,152293.0
2020-03-01,2026-08-03,2026-08-03,150895.0
2020-04-01,2026-08-03,2026-08-03,130426.0
2020-05-01,2026-08-03,2026-08-03,133040.0
2020-06-01,2026-08-03,2026-08-03,137671.0
2020-07-01,2026-08-03,2026-08-03,139255.0
2020-08-01,2026-08-03,2026-08-03,140821.0
2020-09-01,2026-08-03,2026-08-03,141770.0
2020-10-01,2026-08-03,2026-08-03,142460.0
2020-11-01,2026-08-03,2026-08-03,142733.0
2020-12-01,2026-08-03,2026-08-03,142548.0
2021-01-01,2026-08-03,2026-08-03,142863.0
2021-02-01,2026-08-03,2026-08-03,143380.0
2021-03-01,2026-08-03,2026-08-03,144232.0
2021-04-01,2026-08-03,2026-08-03,144587.0
2021-05-01,2026-08-03,2026-08-03,145065.0
2021-06-01,2026-08-03,2026-08-03,145820.0
2021-07-01,2026-08-03,2026-08-03,146762.0
2021-08-01,2026-08-03,2026-08-03,147314.0
2021-09-01,2026-08-03,2026-08-03,147771.0
2021-10-01,2026-08-03,2026-08-03,148572.0
2021-11-01,2026-08-03,2026-08-03,149230.0
2021-12-01,2026-08-03,2026-08-03,149816.0
2022-01-01,2026-08-03,2026-08-03,150006.0
2022-02-01,2026-08-03,2026-08-03,150825.0
2022-03-01,2026-08-03,2026-08-03,151315.0
2022-04-01,2026-08-03,2026-08-03,151623.0
2022-05-01,2026-08-03,2026-08-03,151924.0
2022-06-01,2026-08-03,2026-08-03,152358.0
2022-07-01,2026-08-03,2026-08-03,153072.0
2022-08-01,2026-08-03,2026-08-03,153362.0
2022-09-01,2026-08-03,2026-08-03,153582.0
2022-10-01,2026-08-03,2026-08-03,153939.0
2022-11-01,2026-08-03,2026-08-03,154242.0
2022-12-01,2026-08-03,2026-08-03,154342.0
2023-01-01,2026-08-03,2026-08-03,154776.0
2023-02-01,2026-08-03,2026-08-03,155066.0
2023-03-01,2026-08-03,2026-08-03,155134.0
2023-04-01,2026-08-03,2026-08-03,155375.0
2023-05-01,2026-08-03,2026-08-03,155655.0
2023-06-01,2026-08-03,2026-08-03,155880.0
2023-07-01,2026-08-03,2026-08-03,156043.0
2023-08-01,2026-08-03,2026-08-03,156261.0
2023-09-01,2026-08-03,2026-08-03,156417.0
2023-10-01,2026-08-03,2026-08-03,156576.0
2023-11-01,2026-08-03,2026-08-03,156703.0
2023-12-01,2026-08-03,2026-08-03,156857.0
2024-01-01,2026-08-03,2026-08-03,157032.0
2024-02-01,2026-08-03,2026-08-03,157238.0
2024-03-01,2026-08-03,2026-08-03,157466.0
2024-04-01,2026-08-03,2026-08-03,157530.0
2024-05-01,2026-08-03,2026-08-03,157608.0
2024-06-01,2026-08-03,2026-08-03,157695.0
2024-07-01,2026-08-03,2026-08-03,157748.0
2024-08-01,2026-08-03,2026-08-03,157757.0
2024-09-01,2026-08-03,2026-08-03,157912.0
2024-10-01,2026-08-03,2026-08-03,157945.0
2024-11-01,2026-08-03,2026-08-03,158079.0
2024-12-01,2026-08-03,2026-08-03,158316.0
2025-01-01,2026-08-03,2026-08-03,158268.0
2025-02-01,2026-08-03,2026-08-03,158310.0
2025-03-01,2026-08-03,2026-08-03,158377.0
2025-04-01,2026-08-03,2026-08-03,158485.0
2025-05-01,2026-08-03,2026-08-03,158498.0
2025-06-01,2026-08-03,2026-08-03,158478.0
2025-07-01,2026-08-03,2026-08-03,158542.0
2025-08-01,2026-08-03,2026-08-03,158472.0
2025-09-01,2026-08-03,2026-08-03,158548.0
2025-10-01,2026-08-03,2026-08-03,158408.0
2025-11-01,2026-08-03,2026-08-03,158449.0
2025-12-01,2026-08-03,2026-08-03,158432.0
2026-01-01,2026-08-03,2026-08-03,158592.0
2026-02-01,2026-08-03,2026-08-03,158436.0
2026-03-01,2026-08-03,2026-08-03,158650.0
2026-04-01,2026-08-03,2026-08-03,158798.0
2026-05-01,2026-08-03,2026-08-03,158927.0
2026-06-01,2026-08-03,2026-08-03,158984.0
