date,realtime_end,realtime_start,value
2010-05-01,2026-08-03,2026-08-03,70.611
2010-06-01,2026-08-03,2026-08-03,70.682
2010-07-01,2026-08-03,2026-08-03,71.1601
2010-08-01,2026-08-03,2026-08-03,71.3642
2010-09-01,2026-08-03,2026-08-03,71.5357
2010-10-01,2026-08-03,2026-08-03,71.6761
2010-11-01,2026-08-03,2026-08-03,71.8748
2010-12-01,2026-08-03,2026-08-03,72.3185
2011-01-01,2026-08-03,2026-08-03,72.4358
2011-02-01,2026-08-03,2026-08-03,72.6355
2011-03-01,2026-08-03,2026-08-03,73.1469
2011-04-01,2026-08-03,2026-08-03,72.8001
2011-05-01,2026-08-03,2026-08-03,72.8134
2011-06-01,2026-08-03,2026-08-03,72.9204
2011-07-01,2026-08-03,2026-08-03,73.3492
2011-08-01,2026-08-03,2026-08-03,73.6851
2011-09-01,2026-08-03,2026-08-03,73.8276
2011-10-01,2026-08-03,2026-08-03,74.1656
2011-11-01,2026-08-03,2026-08-03,73.9533
2011-12-01,2026-08-03,2026-08-03,74.3759
2012-01-01,2026-08-03,2026-08-03,74.9205
2012-02-01,2026-08-03,2026-08-03,75.1535
2012-03-01,2026-08-03,2026-08-03,74.669
2012-04-01,2026-08-03,2026-08-03,74.9465
2012-05-01,2026-08-03,2026-08-03,74.6333
2012-06-01,2026-08-03,2026-08-03,74.7583
2012-07-01,2026-08-03,2026-08-03,74.5256
2012-08-01,2026-08-03,2026-08-03,74.345
2012-09-01,2026-08-03,2026-08-03,74.1108
2012-10-01,2026-08-03,2026-08-03,73.9373
2012-11-01,2026-08-03,2026-08-03,74.3212
2012-12-01,2026-08-03,2026-08-03,74.7755
2013-01-01,2026-08-03,2026-08-03,74.589
2013-02-01,2026-08-03,2026-08-03,74.8632
2013-03-01,2026-08-03,2026-08-03,74.7698
2013-04-01,2026-08-03,2026-08-03,74.5484
2013-05-01,2026-08-03,2026-08-03,74.7765
2013-06-01,2026-08-03,2026-08-03,74.9749
2013-07-01,2026-08-03,2026-08-03,74.4051
2013-08-01,2026-08-03,2026-08-03,75.0642
2013-09-01,2026-08-03,2026-08-03,75.1341
2013-10-01,2026-08-03,2026-08-03,75.3083
2013-11-01,2026-08-03,2026-08-03,75.3105
2013-12-01,2026-08-03,2026-08-03,75.2138
2014-01-01,2026-08-03,2026-08-03,74.4928
2014-02-01,2026-08-03,2026-08-03,75.2268
2014-03-01,2026-08-03,2026-08-03,75.9245
2014-04-01,2026-08-03,2026-08-03,75.984
2014-05-01,2026-08-03,2026-08-03,76.2447
2014-06-01,2026-08-03,2026-08-03,76.5649
2014-07-01,2026-08-03,2026-08-03,76.9794
2014-08-01,2026-08-03,2026-08-03,76.5958
2014-09-01,2026-08-03,2026-08-03,76.6653
2014-10-01,2026-08-03,2026-08-03,76.6657
2014-11-01,2026-08-03,2026-08-03,77.2751
2014-12-01,2026-08-03,2026-08-03,77.2028
2015-01-01,2026-08-03,2026-08-03,76.8495
2015-02-01,2026-08-03,2026-08-03,76.373
2015-03-01,2026-08-03,2026-08-03,76.7408
2015-04-01,2026-08-03,2026-08-03,76.8166
2015-05-01,2026-08-03,2026-08-03,76.921
